Amount,Date,Expense_Category,Description
27.15,2022-02-09,Disposable,CNP Whiskey River
107.26,2022-02-12,Disposable,Bowl America
92.23,2022-02-14,Disposable,Costco
13.99,2022-02-14,Entertainment,Netflix
52.4,2022-02-15,Disposable,Turbo Tax
230.0,2022-02-17,Disposable,Weed
100.0,2022-02-20,Disposable,NV Soccer league
57.46,2022-02-20,Disposable,Costco
0.99,2022-02-19,Entertainment,OneDrive
39.0,2022-02-19,Disposable,Cotton & Reed
50.0,2022-02-16,Entertainment,Tangle
70.0,2022-02-19,Disposable,Destino
13.87,2022-02-23,Car,Gas
1067.0,2022-02-21,Gym,Movement annual fee
2.0,2022-02-23,Car,Parking
100.0,2022-02-27,Charity,VA charity
17.48,2022-02-27,Disposable,Doug ticket
46.2,2022-02-26,Disposable,DC United beer
19.99,2022-02-21,Entertainment,Nintendo Switch online
15.0,2022-02-27,Disposable,Lost Dog
50.0,2022-02-26,Disposable,Brunch supplies
80.0,2022-01-01,Gym,Sportrock
36.0,2022-01-01,Charity,Save the Children
1160.0,2022-01-03,Rent,Monthly Rent
125.0,2022-01-03,Utilities,Monthly Utilities
11.0,2022-01-03,Disposable,Chipotle
133.4,2022-01-05,Disposable,Miami AirBnB #1
436.01,2022-01-05,Disposable,Miami AirBnB #2
40.19,2022-01-10,Disposable,Uber to hotel
37.12,2022-01-08,Disposable,Resevoir (airport food)
6.99,2022-01-07,Entertainment,ESPN+
35.77,2022-01-08,Disposable,Mama Melroses
59.85,2022-01-08,Disposable,Lago restaurant
20.98,2022-01-09,Disposable,Trattoria Rattatoria
249.75,2022-01-10,Disposable,Disney hotel
95.32,2022-01-10,Disposable,Lightning lane reservations
90.0,2022-01-11,Disposable,District sports registration
98.12,2022-01-11,Disposable,Costco
68.13,2022-01-09,Disposable,Epcot drinks
13.0,2022-01-09,Disposable,Lightning lane reservations
7.38,2022-01-09,Disposable,Joffrey's Coffee
4.99,2022-01-09,Entertainment,Apple TV+
22.89,2022-01-09,Disposable,SSFF Restaurant
9.99,2022-01-09,Entertainment,Spotify
10.65,2022-01-08,Disposable,Tamu Tamu
12.24,2022-01-08,Disposable,Ronto Roasters
12.03,2022-01-08,Disposable,Drink at Coronado Springs
21.3,2022-01-07,Disposable,Food at Coronado Springs
51.75,2022-01-13,Disposable,Spa session for VA
182.0,2022-01-13,Disposable,Tata Harper for VA
40.0,2022-01-18,Utilities,Verizon
22.369999999999997,2022-01-17,Disposable,Surfside
63.7,2022-01-16,Disposable,Chiko
114.0,2022-01-15,Disposable,The Grill from Ipanema
9.09,2022-01-14,Disposable,Potbelly
8.23,2022-01-14,Disposable,McDonalds
13.99,2022-01-14,Entertainment,Netflix
35.62,2022-01-13,Car,Gas
0.99,2022-01-19,Entertainment,OneDrive
125.17,2022-01-24,Disposable,Costco
87.13,2022-01-24,Disposable,Huel
106.6,2022-01-23,Disposable,Target
55.0,2022-01-22,Disposable,Giant
141.43,2022-01-19,Disposable,Diplo tickets
20.27,2022-01-10,Disposable,Moroccan restaurant
10.87,2022-01-30,Disposable,Uber home
16.0,2022-01-31,Disposable,Chikko
1.35,2022-01-31,Car,Parking
10.34,2022-01-30,Disposable,Uber to Mikey's
37.3,2022-01-30,Car,Gas
39.0,2022-01-29,Disposable,Wilson's Hardware
27.0,2022-01-28,Disposable,Giant
1160.0,2021-12-02,Rent,Monthly Rent
125.36999999999989,2021-12-02,Utilities,Monthly Utilities
80.0,2021-12-02,Gym,SportRock
10.0,2021-12-02,Disposable,Dental Care
92.04,2021-12-02,Disposable,Costco
6.37,2021-12-02,Disposable,Target
59.5,2021-12-08,Disposable,PopChart prints
95.11,2021-12-08,Disposable,Meat thermometer
4.99,2021-12-09,Entertainment,Apple TV+
1.76,2021-12-09,Disposable,Potbelly
501.41,2021-12-07,Car,Tire change
13.59,2021-12-07,Disposable,Empower ride
6.99,2021-12-07,Entertainment,ESPN+
20.0,2021-12-07,Car,Gas
8.93,2021-12-07,Disposable,Empower ride
18.0,2021-12-06,Disposable,Dudley's
10.0,2021-12-05,Disposable,Chipotle
52.0,2021-12-12,Disposable,Nintendo gift card
20.0,2021-12-11,Disposable,Metro car reload
65.91,2021-12-11,Disposable,Costco
9.99,2021-12-09,Entertainment,Spotify
36.0,2021-12-02,Charity,Save the Children
13.99,2021-12-14,Entertainment,Netflix
2.0,2021-12-14,Entertainment,Times
10.59,2021-12-15,Disposable,Smoke Stop
36.4,2021-12-15,Car,Gas
20.0,2021-12-23,Disposable,Weed
40.0,2021-12-20,Utilities,Verizon
168.0,2021-12-20,Disposable,Wedding fees
61.19,2021-12-22,Disposable,Costco
56.16,2021-12-20,Disposable,Giant
0.99,2021-12-20,Entertainment,OneDrive
126.0,2021-12-18,Disposable,Florentine Café
71.0,2021-12-17,Disposable,Game One - Fenway
14.18,2021-12-16,Disposable,Target
340.0,2021-12-25,Disposable,Weed
69.99,2021-12-26,Entertainment,Microsoft 365
100.0,2021-12-25,Disposable,Starbucks gift card
65.49,2021-12-24,Disposable,ABC Store
22.68,2021-12-27,Disposable,ABC Store
135.14,2021-12-12,Disposable,Massage gun for Dad
9.53,2021-12-12,Disposable,Milk frother for VA
74.18,2021-12-29,Disposable,ABC Store
40.56999999999999,2021-12-31,Disposable,Giant
1160.0,2021-11-01,Rent,Monthly Rent
50.0,2021-11-01,Car,Monthly Parking
93.57999999999993,2021-11-01,Utilities,Monthly Utilities
80.0,2021-11-01,Gym,Sportrock
19.0,2021-11-01,Disposable,Giant
6.0,2021-11-01,Disposable,Chipotle
63.0,2021-11-02,Disposable,Night stand
70.0,2021-11-02,Disposable,Mirror for bedroom
34.69,2021-11-02,Car,Gas
36.0,2021-11-02,Charity,Save the Children
31.79,2021-11-03,Disposable,Vape
12.2,2021-11-03,Disposable,Potbelly
11.0,2021-11-04,Disposable,Wilson Hardware
10.06,2021-11-05,Disposable,Uber home from Clarendon
14.44,2021-11-05,Disposable,Uber to DC
10.03,2021-11-05,Disposable,Uber to Denis
29.0,2021-11-05,Disposable,Spider Kellys
10.5,2021-11-05,Disposable,Empower ride
73.4,2021-11-06,Disposable,Decades
16.89,2021-11-06,Disposable,Empower ride
6.99,2021-11-07,Entertainment,ESPN+
11.92,2021-11-07,Disposable,Uber to Joe/Mikey's
34.6,2021-11-07,Disposable,McDonald's
13.56,2021-11-07,Disposable,Uber home from Court House
50.0,2021-11-07,Car,EZ-Pass Replenish
4.99,2021-11-09,Entertainment,Apple TV+
191.91,2021-11-09,Disposable,Costco
9.99,2021-11-09,Entertainment,Spotify
27.0,2021-11-09,Disposable,Giant
13.3,2021-11-09,Disposable,Whole Foods
37.81,2021-11-12,Car,Gas
22.18,2021-11-12,Disposable,Uber to Mission
72.06,2021-11-12,Disposable,ABC
34.47,2021-11-13,Disposable,Uber home from Mission
45.0,2021-11-13,Disposable,KBBQ
100.0,2021-11-13,Disposable,Bowlero
46.52,2021-11-13,Disposable,Bob & Edith's
13.99,2021-11-14,Entertainment,Netflix
0.7,2021-11-18,Disposable,McDonald's
19.46,2021-11-20,Disposable,Safeway
37.37,2021-11-20,Car,Shell
1.0,2021-11-20,Disposable,Chipotle
0.99,2021-11-20,Entertainment,OneDrive
384.47,2021-11-22,Disposable,Disney Tickets
90.19,2021-11-22,Disposable,Costco
9.95,2021-11-23,Disposable,FantasyLabs
40.0,2021-11-24,Utilities,Verizon
79.0,2021-11-24,Disposable,Bedside table
50.0,2021-11-25,Car,EZ-Pass Replenish
20.0,2021-11-26,Disposable,Potbelly gift card
50.0,2021-11-25,Disposable,MercyMe gift card
15.0,2021-11-26,Disposable,Poke
118.4,2021-11-30,Disposable,Flight to MIA
78.98,2021-11-30,Disposable,Flight back to DCA
4.99,2021-11-28,Entertainment,Paramount+
29.57,2021-11-26,Car,Gas
27.0,2021-11-27,Disposable,Giant
85.25,2021-11-28,Disposable,Target
1200.0,2021-10-04,Rent,Monthly rent
63.00999999999999,2021-10-04,Utilities,Monthly utilities
50.0,2021-10-04,Car,Monthly parking
80.0,2021-10-01,Gym,Monthly invoice
34.0,2021-10-03,Car,Gas
33.11,2021-10-02,Disposable,Vapes
18.41,2021-10-02,Disposable,Potbelly
35.0,2021-10-03,Disposable,Hyatt House drinks
40.12,2021-10-02,Disposable,Hyatt House drinks
50.0,2021-10-01,Car,EZ-Pass Replenish
11.2,2021-10-01,Disposable,Starbucks
76.88,2021-10-01,Disposable,Huel
30.0,2021-10-03,Disposable,Taxi
74.4,2021-10-05,Car,Propery tax
100.0,2021-10-05,Disposable,Seth & Kelsey wedding check
296.0,2021-10-05,Disposable,Hyatt House hotel
50.0,2021-10-05,Car,EZ-Pass Replenish
90.0,2021-10-05,Utilities,Cleaner
6.99,2021-10-07,Entertainment,ESPN+
10.84,2021-10-06,Disposable,Chipotle
37.05,2021-10-06,Car,Gas
59.99,2021-10-08,Entertainment,Strava
609.69,2021-10-07,Disposable,Studenglass
36.0,2021-10-02,Charity,Save the Children
13.99,2021-10-14,Entertainment,Netflix
650.41,2021-10-12,Car,Geico insurance
4.0,2021-10-10,Disposable,Empower ride
9.99,2021-10-09,Entertainment,Spotify
4.99,2021-10-09,Entertainment,Apple TV+
15.0,2021-10-16,Disposable,McNamara's
20.0,2021-10-16,Disposable,DC United parking
1.2,2021-10-16,Car,Parking
30.0,2021-10-16,Disposable,Dacha
15.0,2021-10-16,Disposable,DC United ticket
28.75,2021-10-16,Disposable,DC United beers
9.09,2021-10-16,Disposable,Brazil boutique
40.0,2021-10-18,Utilities,Verizon bill
28.6,2021-10-18,Disposable,Nintendo AC Adapter
50.0,2021-10-19,Car,EZ-Pass Replenish
0.99,2021-10-19,Entertainment,OneDrive storage
57.0,2021-10-21,Utilities,Water bill (from 1632)
13.0,2021-10-24,Disposable,Taco Bell
111.0,2021-10-22,Disposable,Gypsy Kitchen
33.98,2021-10-24,Car,Gas
7.69,2021-10-23,Disposable,Duccini's pizza
28.92,2021-10-28,Disposable,Uber to DC United
42.0,2021-10-27,Car,License renewal
44.98,2021-10-28,Disposable,Chargers
29.07,2021-10-28,Disposable,Costco
29.75,2021-10-28,Disposable,DC United ticket
12.7,2021-10-26,Disposable,Target
4.99,2021-10-28,Entertainment,Paramount+
10.0,2021-10-29,Disposable,Metro card reload
6.89,2021-10-29,Disposable,Empower ride
9.77,2021-10-30,Disposable,Empower ride
9.54,2021-10-30,Disposable,Target
11.55,2021-10-31,Disposable,Bronx pizza
31.39,2021-10-31,Disposable,Uber home from Clarendon
8.74,2021-10-29,Disposable,Gregory's
32.16,2021-10-18,Car,Gas
6.0,2021-10-31,Disposable,Chipotle
50.0,2021-09-01,Car,Monthly parking
53.7,2021-09-01,Utilities,Monthly utilities
1163.0,2021-09-01,Rent,Monthly rent
102.4,2021-09-01,Disposable,Corey's wedding gift
206.8,2021-09-01,Disposable,Flights to/from FL
8.0,2021-09-01,Entertainment,Magazine subscriptions
80.0,2021-09-01,Gym,Sportrock
81.95,2021-09-02,Disposable,DC Fray registration
700.0,2021-09-02,Rent,Overlap rent
36.0,2021-09-02,Charity,Save the Children
7.0,2021-09-03,Disposable,Tin Roof
16.0,2021-09-03,Disposable,Bothers Bar & Grill
8.45,2021-09-03,Disposable,Chipotle
20.0,2021-09-03,Disposable,White Willow farms
12.41,2021-09-03,Disposable,Uber
14.98,2021-09-03,Disposable,Uber
11.87,2021-09-04,Disposable,Hotel sandwich
100.0,2021-09-04,Disposable,Primanti's
26.97,2021-09-04,Disposable,Uber
4.5,2021-09-05,Disposable,Hotel laundry
36.97,2021-09-05,Disposable,Uber
20.0,2021-09-05,Disposable,Wedding bar tip
11.88,2021-09-06,Disposable,Chipotle
40.0,2021-09-06,Disposable,Corvus Guillotine league fee
100.0,2021-09-06,Disposable,Malcriado FF league fee
100.0,2021-09-06,Disposable,Barnett's FF league fee
30.0,2021-09-07,Disposable,Dancing shoes
100.0,2021-09-07,Disposable,Shayla and Lucas wedding gift
90.0,2021-09-07,Disposable,Olive tree
100.0,2021-09-07,Disposable,Elaina and Shawn wedding gift
6.99,2021-09-07,Entertainment,ESPN+
8.69,2021-09-07,Disposable,Costco
13.18,2021-09-07,Disposable,Rasa
75.0,2021-09-07,Disposable,Elaina and Shawn hotel
9.24,2021-09-08,Disposable,Chipotle
4.99,2021-09-09,Entertainment,Apple TV+
9.99,2021-09-09,Entertainment,Spotify
40.0,2021-09-11,Disposable,Bowlero
100.0,2021-09-11,Disposable,Chevy's
50.0,2021-09-11,Car,EZ-Pass replenish
137.69,2021-09-13,Disposable,Costco
255.21,2021-09-14,Disposable,Macy's suit
26.0,2021-09-14,Disposable,Bianca baby shower gift
40.0,2021-09-14,Disposable,Dining room chairs
13.99,2021-09-14,Entertainment,Netflix
20.65,2021-09-15,Disposable,McDonald's
34.86,2021-09-15,Disposable,Uber home
14.31,2021-09-15,Disposable,Uber to DC United
30.0,2021-09-15,Disposable,Beers at DC United
33.65,2021-09-17,Car,Gas
47.0,2021-09-17,Disposable,Giant
21.49,2021-09-17,Disposable,WholeFoods
40.0,2021-09-19,Disposable,Ubeer Eats
65.0,2021-09-20,Utilities,Verizon
0.99,2021-09-20,Entertainment,OneDrive
13.0,2021-09-23,Disposable,Giant
92.74,2021-09-23,Disposable,Costco
43.0,2021-09-23,Disposable,DC United ticket
44.85,2021-09-25,Disposable,Audi Field beers
14.38,2021-09-26,Disposable,Taco Bell
27.31,2021-09-27,Car,Gas
15.0,2021-09-29,Disposable,DC United ticket
23.25,2021-09-29,Disposable,Uber to DC United
4.99,2021-09-29,Entertainment,Paramount+
15.6,2021-09-29,Disposable,Audi Field beers
80.0,2021-08-01,Gym,SportRock
180.0,2021-08-01,Disposable,Dr. Johnny
700.0,2021-08-02,Rent,Monthly rent
36.0,2021-08-02,Charity,Save the Children
36.0,2021-08-04,Utilities,Verizon
45.0,2021-08-04,Disposable,Porch rocking chairs
90.0,2021-08-04,Disposable,Dining table
4.55,2021-08-03,Disposable,Chick-fil-a
3.99,2021-08-03,Disposable,She's the Man
11.34,2021-08-01,Disposable,Giant
4.99,2021-08-07,Entertainment,ESPN+
23.58,2021-08-06,Disposable,Uber Eats
70.0,2021-08-07,Disposable,Doi Moi
4.99,2021-08-09,Entertainment,Apple TV+
9.99,2021-08-09,Entertainment,Spotify
9.24,2021-08-09,Disposable,Chipotle
9.0,2021-08-09,Disposable,Bob & Ediths
9.24,2021-08-08,Disposable,Chipotle
139.65,2021-08-08,Disposable,U-haul
30.13,2021-08-08,Car,Gas
213.92000000000002,2021-08-11,Disposable,Costco
9.24,2021-08-11,Disposable,Chipotle
13.5,2021-08-10,Disposable,Rasa
46.37,2021-08-09,Disposable,Target
13.16,2021-08-11,Disposable,McDonald's
13.99,2021-08-14,Entertainment,Netflix
536.23,2021-08-14,Disposable,Ikea
5.41,2021-08-14,Disposable,Spin
52.99,2021-08-15,Disposable,Target
22.53,2021-08-15,Disposable,Uber
21.0,2021-08-16,Charity,School supply drive - backpack
38.0,2021-08-15,Disposable,Roofers Union
10.01,2021-08-17,Disposable,Uber
50.0,2021-08-19,Car,EZ-Pass
8.0,2021-08-19,Utilities,Dominion
66.66,2021-08-19,Utilities,Water #1
68.0,2021-08-19,Utilities,Water #2
0.99,2021-08-19,Entertainment,OneDrive
37.39,2021-08-19,Car,Gas
13.5,2021-08-17,Disposable,Rasa
61.0,2021-08-17,Disposable,Anthem
55.0,2021-08-20,Disposable,Giant
59.07,2021-08-20,Disposable,Climbing harness
8.97,2021-08-28,Disposable,Chipotle
28.44,2021-08-29,Disposable,Home Goods
71.99,2021-08-27,Disposable,FXA Sports
32.81,2021-08-27,Car,Gas
8.0,2021-08-27,Disposable,Beer
122.55,2021-08-23,Disposable,Costco
1.05,2021-08-23,Disposable,USPS Change of Address
36.59,2021-08-29,Car,Gas
70.51,2021-08-31,Disposable,Costco
700.0,2021-07-01,Rent,Monthly Rent
80.0,2021-07-01,Gym,SportRock
300.0,2021-07-01,Disposable,Adjustable bed
55.0,2021-07-01,Utilities,Year of renter's insurance
36.0,2021-07-02,Charity,Save the Children
22.0,2021-07-03,Disposable,Don Tito's
45.629999999999995,2021-07-03,Disposable,DC United beers
77.55,2021-07-03,Disposable,Circa
9.71,2021-07-03,Disposable,Uber
3.88,2021-07-04,Car,Parking
21.0,2021-07-04,Disposable,Giant
15.36,2021-07-05,Disposable,Heineken beer
8.18,2021-07-05,Disposable,Uber
9.24,2021-07-06,Disposable,Chipotle
21.08,2021-07-07,Disposable,Giant
4.99,2021-07-07,Entertainment,ESPN+
9.99,2021-07-09,Entertainment,Spotify
7.69,2021-07-10,Disposable,Quickway
35.0,2021-07-11,Car,Gas
8.97,2021-07-11,Disposable,Chipotle
61.43,2021-07-12,Car,Geico
159.26,2021-07-12,Disposable,Costco
4.0,2021-07-12,Disposable,Giant
675.0,2021-07-14,Rent,Rent for Crystal City place
13.99,2021-07-14,Entertainment,Netflix
91.0,2021-07-14,Disposable,Fords Fish Shack
51.83,2021-07-15,Disposable,REI
50.64,2021-07-15,Disposable,Amazon purchases
16.92,2021-07-15,Disposable,Car Windshield Sun Shade
13.73,2021-07-15,Disposable,Hand & finger file
19.99,2021-07-15,Disposable,Antihydral cream
68.3,2021-07-16,Disposable,TJ Maxx
119.72,2021-07-16,Disposable,Target
5.0,2021-07-16,Car,Parking
14.77,2021-07-17,Disposable,Uber to Nats park
50.0,2021-07-17,Disposable,Wilson's Hardware brunch
46.33,2021-07-17,Disposable,Nationals beers
8.28,2021-07-19,Disposable,Uber to Nats park
0.99,2021-07-20,Entertainment,OneDrive
15.09,2021-07-20,Disposable,Giant
33.63,2021-07-21,Car,Gas
250.0,2021-07-22,Disposable,Bed frame + topper
121.0,2021-07-27,Disposable,Dinner with VA's family
19.07,2021-07-23,Disposable,White Claws
16.58,2021-07-24,Disposable,Sheetz
50.0,2021-07-28,Car,EZ-pass replenish
19.11,2021-07-29,Disposable,Sheetz
157.4,2021-07-30,Disposable,Flight to IND
80.33,2021-07-30,Disposable,IND hotels
142.2,2021-07-30,Disposable,Flight to MDT
46.16,2021-07-30,Disposable,Costco
18.0,2021-07-31,Disposable,Spider Kelly's
6.0,2021-06-01,Disposable,Tulum taxi
68.24,2021-06-02,Utilities,Water
700.0,2021-06-02,Rent,Rent
4.0,2021-06-02,Disposable,Giant
64.0,2021-06-02,Disposable,Razor
36.0,2021-06-02,Charity,Save the Children
30.19,2021-06-04,Utilities,Electricity
77.36,2021-06-04,Disposable,Shoes for Quan wedding
14.37,2021-06-04,Disposable,Taco Bell
4.0,2021-06-07,Disposable,FXA fee
4.99,2021-06-07,Entertainment,ESPN+
75.47,2021-06-07,Disposable,Costco
36.78,2021-06-09,Disposable,Guayaki Yerba Mate for VA
9.99,2021-06-09,Entertainment,Spotify
36.78,2021-06-10,Disposable,Yerba Mate gift for VA
35.0,2021-06-11,Disposable,Giant
76.88,2021-06-11,Disposable,Huel
50.0,2021-06-12,Car,EZ-Pass
32.64,2021-06-12,Car,Gas
63.18,2021-06-12,Disposable,Cobbler Mountain Cider
8.46,2021-06-12,Disposable,Potbelly
23.79,2021-06-13,Disposable,Taco Bell Cantina
36.5,2021-06-13,Disposable,Footy golf
53.33,2021-06-14,Disposable,Costco
13.99,2021-06-14,Entertainment,Netflix
533.88,2021-06-14,Disposable,Wedding car repair fees
9.24,2021-06-17,Disposable,Chipotle
28.75,2021-06-17,Disposable,Hair Cuttery
7.0,2021-06-15,Disposable,Giant
2.1,2021-06-14,Disposable,Blunt wraps
25.58,2021-06-21,Disposable,Vapes
35.08,2021-06-20,Car,Gas for Joe
0.99,2021-06-19,Entertainment,OneDrive
80.0,2021-06-18,Disposable,El Tamarindo
11.01,2021-06-18,Disposable,Wine
7.69,2021-06-18,Disposable,Quickway
20.0,2021-06-20,Disposable,Captain Groovy's seafood
53.6,2021-06-21,Disposable,Climbling chalk
150.0,2021-06-24,Disposable,Security Deposit
33.0,2021-06-24,Disposable,Soccer jersey
1.0,2021-06-24,Disposable,Giant
38.0,2021-06-24,Disposable,Chin-Chin Café
28.89,2021-06-27,Disposable,Uber Eats
9.24,2021-06-27,Disposable,Chipotle
34.8,2021-06-27,Car,Gas
19.39,2021-06-26,Disposable,Chick-Fil-A
4.0,2021-06-26,Disposable,Goodwill
31.51,2021-06-25,Car,Gas
15.58,2021-06-24,Disposable,K1 Beer
110.58,2021-06-29,Disposable,Costco
24.0,2021-06-29,Disposable,Giant
700.0,2021-05-01,Rent,Monthly Rent
7.9,2021-05-02,Disposable,McDonald's
8.91,2021-05-02,Disposable,Chipotle
154.84,2021-05-03,Gym,SportRock membership
170.11,2021-05-03,Disposable,Costco
36.0,2021-05-03,Charity,Save the Children
165.0,2021-05-04,Disposable,Florida expenses
11.99,2021-05-04,Disposable,FXA late registration
100.0,2021-05-05,Disposable,Maketto
4.99,2021-05-06,Entertainment,ESPN+
5.24,2021-05-06,Disposable,Giant
124.94,2021-05-07,Disposable,REI
8.43,2021-05-07,Disposable,Chipotle
4.8,2021-05-07,Disposable,Giant
50.0,2021-05-09,Car,EZ-Pass
32.95,2021-05-09,Car,Gas
9.99,2021-05-09,Entertainment,Spotify
201.8,2021-05-10,Disposable,Richmond AirBnB
201.8,2021-05-11,Disposable,Richmond AirBnB
1.21,2021-05-13,Disposable,Giant
44.23,2021-05-13,Disposable,Nat's game food and beer
11.02,2021-05-14,Disposable,Chick-Fil-A
70.32,2021-05-14,Disposable,Taxi to Cancun hotel
13.99,2021-05-14,Entertainment,Netflix
15.4,2021-05-14,Disposable,Uber to airport
53.98,2021-05-14,Disposable,Switch charger
172.94,2021-05-16,Disposable,Funky Geisha
8.07,2021-05-16,Disposable,Cancun groceries
23.32,2021-05-17,Disposable,Cancun taxis
121.47,2021-05-17,Disposable,Coco Bongo
1233.3000000000002,2021-05-17,Disposable,Cancun expenses
13.6,2021-05-18,Disposable,McDonald's
14.64,2021-05-18,Disposable,Taxi home from airport
21.9,2021-05-18,Disposable,WolfGangPuck Kitchen
30.0,2021-05-19,Disposable,Weed
72.57,2021-05-19,Disposable,FXA registration fee
66.99,2021-05-19,Disposable,FXA registration fee
0.99,2021-05-19,Entertainment,OneDrive
7.37,2021-05-19,Disposable,Quickway
244.87,2021-05-20,Disposable,More Tulum expenses
27.53,2021-05-21,Disposable,Giant
5.460000000000001,2021-05-21,Car,Gas - Andrew payment
126.0,2021-05-22,Disposable,Ledo's pizza
5.61,2021-05-23,Disposable,McDonald's
3.79,2021-05-24,Disposable,Lighters
32.66,2021-05-24,Car,Gas
48.76,2021-05-24,Disposable,Dick's - Shin guards and socks
245.55,2021-05-24,Disposable,Costco
14.56,2021-05-25,Disposable,Giant
32.0,2021-05-17,Disposable,Swim suit
114.7,2021-05-27,Disposable,Modest Mouse
16.95,2021-05-29,Car,Parking
22.92,2021-05-29,Disposable,Uber home
28.61,2021-05-29,Disposable,Strangeways
51.64,2021-05-29,Disposable,Don't Look Back
10.0,2021-05-29,Disposable,The Circuit
11.65,2021-05-29,Disposable,E-cig
350.0,2021-05-28,Disposable,Quan wedding hotel
350.0,2021-05-26,Disposable,Weed
26.0,2021-05-31,Disposable,Giant
30.24,2021-05-31,Car,Gas
700.0,2021-04-01,Rent,Monthly Rent
15.0,2021-04-02,Disposable,Beer
36.0,2021-04-02,Charity,Save the Children
3.88,2021-04-03,Car,Parking
107.42,2021-04-03,Disposable,Costco
7.98,2021-04-05,Disposable,Potbelly
10.0,2021-04-06,Disposable,Cheesecake
375.93,2021-04-06,Disposable,Southwest
4.99,2021-04-07,Entertainment,ESPN+
9.75,2021-04-08,Disposable,Giant
9.99,2021-04-09,Entertainment,Spotify
66.0,2021-04-10,Disposable,Mayahuel Cocina Mexicana
19.99,2021-04-11,Disposable,Hemp wick lighter
30.81,2021-04-11,Car,Gas
521.27,2021-04-12,Car,Geico
13.87,2021-04-12,Disposable,Giant
74.86,2021-04-13,Disposable,Costco
13.99,2021-04-14,Entertainment,Netflix
41.27,2021-04-15,Utilities,Electricity
10.43,2021-04-15,Disposable,Giant
10.49,2021-04-18,Disposable,Quickway
6.29,2021-04-18,Disposable,Giant
3.05,2021-04-19,Disposable,Giant
0.99,2021-04-19,Entertainment,OneDrive
8.64,2021-04-20,Disposable,Chipotle
24.2,2021-04-20,Disposable,Flight to Cancun
20.5,2021-04-21,Disposable,Cystic Fibrosis donation
31.78,2021-04-21,Disposable,Vape King
8.64,2021-04-23,Disposable,Chipotle
1.16,2021-04-23,Disposable,Giant
99.99,2021-04-23,Entertainment,Chess.com
8.43,2021-04-24,Disposable,Chipotle
7.37,2021-04-25,Disposable,Quickway
3.81,2021-04-26,Disposable,Giant
28.63,2021-04-27,Car,Gas
50.0,2021-04-29,Disposable,Comedy show
173.0,2021-04-30,Disposable,Lake house deposit
21.39,2021-04-29,Disposable,High noon
700.0,2021-03-01,Rent,Monthly Rent
23.22,2021-03-01,Disposable,Giant
76.88,2021-03-02,Disposable,Huel
36.0,2021-03-02,Disposable,Save the Children
29.6,2021-03-02,Disposable,Home Depot
14.79,2021-03-03,Disposable,Giant
35.0,2021-03-03,Disposable,Spider Kelly's
1080.87,2021-03-05,School,Final parent loan repayment
91.69,2021-03-05,Disposable,Costco
16.96,2021-03-05,Disposable,Hair bands
28.83,2021-03-05,Car,Gas
108.59,2021-03-06,Disposable,Dr. Johnny
10.84,2021-03-06,Disposable,Chipotle
15.0,2021-03-07,Disposable,Bonchon
4.99,2021-03-08,Entertainment,ESPN+
44.52,2021-03-09,Disposable,Giant
9.99,2021-03-09,Entertainment,Spotify
15.89,2021-03-12,Disposable,Vape
2.13,2021-03-13,Car,Parking
10.62,2021-03-14,Disposable,Giant
13.99,2021-03-14,Entertainment,Netflix
7.77,2021-03-14,Disposable,McDonald's
89.93,2021-03-15,Disposable,DC Premier League
28.7,2021-03-15,Disposable,Giant
56.94,2021-03-16,Utilities,Dominion
18.08,2021-03-16,Disposable,Giant
79.0,2021-03-17,Disposable,Dentist
141.58,2021-03-18,Disposable,Costco
75.55,2021-03-20,Disposable,Giant
106.64,2021-03-22,Car,Vehicle registration renewal
93.28,2021-03-22,Disposable,Yoga mat
75.42,2021-03-23,Disposable,FXA soccer league
12.99,2021-03-23,Disposable,Measure What Matters
28.28,2021-03-23,Disposable,Jeni's ice cream
260.0,2021-03-24,Disposable,Dr. Johnny
30.34,2021-03-24,Car,Gas
21.92,2021-03-25,Disposable,Giant
105.95,2021-03-26,Disposable,Rustico's
11.83,2021-03-28,Disposable,Chipotle
27.56,2021-03-29,Disposable,Giant
700.0,2021-02-01,Rent,February Rent
11.46,2021-02-01,Disposable,Giant
95.0,2021-02-01,Disposable,Chase annual membership fee
36.0,2021-02-02,Disposable,Save the Children
15.0,2021-02-04,Disposable,Ice Skating
72.0,2021-02-04,Disposable,FXA soccer league
8.64,2021-02-04,Disposable,Chipotle
220.0,2021-02-05,Disposable,Iron Gate
48.06,2021-02-08,Disposable,Giant
4.99,2021-02-08,Entertainment,ESPN+
9.99,2021-02-09,Entertainment,Spotify
25.37,2021-02-10,Disposable,Giant
30.0,2021-02-11,Disposable,Prostate Cancer donation
8.91,2021-02-13,Disposable,Chipotle
70.0,2021-02-13,Disposable,TurboTax
20.0,2021-02-14,Disposable,V-Day Grocery supplies
13.99,2021-02-14,Entertainment,Netflix
27.94,2021-02-14,Disposable,Giant
25.28,2021-02-14,Disposable,Bob & Ediths
8.64,2021-02-15,Disposable,Chipotle
25.94,2021-02-15,Car,Gas
9.96,2021-02-15,Disposable,Super Smash Bros
32.2,2021-02-15,Disposable,Giant
166.32,2021-02-15,Disposable,Costco
30.0,2021-02-16,Disposable,Casamigos
59.36,2021-02-16,Utilities,Water
62.26,2021-02-16,Utilities,Dominion
30.0,2021-02-16,Utilities,Verizon
12.0,2021-02-16,Entertainment,Tangle
