Amount,Date,Expense_Category,Description
9.5,2023-01-28,Disposable,WISP Cheeseburger
7.9,2023-01-29,Disposable,Starbucks
10.59,2023-01-29,Disposable,WISP beer
134.69,2023-01-30,Disposable,Costco
25.0,2023-01-30,Disposable,Finnegans Grill
600.0,2022-12-01,Disposable,WISP NYE
45.0,2022-12-01,Disposable,Charlottesville hotel
83.485,2022-12-02,Utilities,Monthly Utilities
100.0,2022-12-02,Car,Monthly Parking
1330.035,2022-12-02,Rent,Monthly Rent
225.0,2022-12-02,Disposable,WISP Chung Bachelor Party
9.99,2022-12-03,Entertainment,ESPN+
13.94,2022-12-03,Disposable,Uber to Swingers DC
617.95,2022-12-04,Disposable,Epic 7-day pass
26.66,2022-12-04,Disposable,Uber home
13.9,2022-12-03,Disposable,Recessions Bar
49.4,2022-12-03,Disposable,Nooshi
57.480000000000004,2022-12-03,Disposable,Swingers DC
36.0,2022-12-02,Charity,Save the Children
26.49,2022-12-05,Disposable,Christmas book for Dad
65.17,2022-12-06,Disposable,Brian Christmas gift
40.77,2022-12-06,Disposable,Christmas gift for Mom - Robe
50.0,2022-12-06,Disposable,Christmas gift for John - Smelly Cat
217.2,2022-12-06,Disposable,Flight to Colorado
182.91,2022-12-06,Disposable,Snowboard
4.99,2022-12-07,Entertainment,Peacock
25.38,2022-12-07,Disposable,Christmas book #2 for Dad
11.0,2022-12-07,Disposable,Giant
9.99,2022-12-09,Entertainment,Spotify
20.0,2022-12-10,Disposable,Bronson Bier Hall
42.9,2022-12-10,Disposable,Quincy Hall
104.4,2022-12-10,Disposable,Chicken & Whiskey
11.0,2022-12-11,Disposable,Chipotle
361.2,2022-12-17,Car,Oil Change
23.0,2022-12-16,Disposable,Christmas book for VA's Dad
18.0,2022-12-16,Disposable,Christmas gift for Lexi
16.0,2022-12-17,Disposable,Chipotle
295.22,2022-12-17,Disposable,Costco
50.0,2022-12-16,Car,EZ-Pass Replenish
15.49,2022-12-15,Entertainment,Netflix
120.0,2022-12-14,Disposable,Weed
2.99,2022-12-20,Entertainment,OneDrive
118.68,2022-12-20,Disposable,ABC store
17.0,2022-12-20,Disposable,Giant
30.0,2022-12-21,Disposable,Christmas book for VA's Mom
50.0,2022-12-25,Disposable,Christmas gift for Brian - Starbucks
30.82,2022-12-24,Car,Gas
69.99,2022-12-25,Entertainment,Microsoft
28.43,2022-12-23,Disposable,Too Many Books
31.799999999999997,2022-12-23,Disposable,Pancake House
30.63,2022-12-22,Car,Gas
18.0,2022-12-27,Disposable,Taco Bell
270.13,2022-12-28,Disposable,REI - Snowboard helmet & goggles
300.0,2022-12-27,Disposable,Colorado AirBnB
24.0,2022-12-27,Disposable,Haircut
6.0,2022-12-22,Disposable,CVS
86.25,2022-12-29,Disposable,Costco
36.0,2022-11-02,Charity,Save the Children
100.0,2022-11-03,Car,Monthly Parking
112.285,2022-11-03,Utilities,Monthly Utilities
1307.995,2022-11-03,Rent,Monthly Rent
9.99,2022-11-03,Entertainment,ESPN+
48.04,2022-11-03,Disposable,CVS
228.33,2022-11-04,Disposable,Costco
46.04,2022-11-06,Disposable,Target - yoga equipment
220.04999999999998,2022-11-06,Disposable,Flight to/from Orlando
1000.0,2022-11-07,Charity,Clean Air Task Force
9.99,2022-11-09,Entertainment,Spotify
160.35,2022-11-11,Disposable,USA Soccer Jersey
117.63,2022-11-11,Disposable,ABC Store
16.0,2022-11-11,Disposable,CVS
43.15,2022-11-12,Car,Gas
42.0,2022-11-13,Disposable,FootyGolf
46.26,2022-11-13,Disposable,Bob & Ediths
15.49,2022-11-14,Entertainment,Netflix
117.63,2022-11-14,Disposable,ABC store
40.0,2022-11-16,Disposable,Giant
40.0,2022-11-18,Utilities,Verizon
19.5,2022-11-19,Disposable,The Roost
85.0,2022-11-19,Disposable,Caruso's Grocery
32.83,2022-11-20,Disposable,Smoke Shop
2.83,2022-11-20,Entertainment,OneDrive
135.0,2022-11-20,Disposable,Weed
64.0,2022-11-21,Disposable,Groupon Massage
76.88,2022-11-21,Disposable,Pura diffusers
83.25,2022-11-21,Disposable,Costco
58.54,2022-11-21,Disposable,Pokemon
32.0,2022-11-21,Disposable,Poke
492.18,2022-11-23,Disposable,Walt Disney World tickets
7.0,2022-11-24,Disposable,Giant
20.0,2022-11-25,Disposable,Bob & Ediths
5.99,2022-11-27,Disposable,Movie - Bullet Train
94.54,2022-11-30,Disposable,Costco
32.99,2022-11-30,Disposable,Dudley's
10.67,2022-11-29,Disposable,Chipotle
100.0,2022-10-02,Car,Monthly Parking
23.0,2022-10-02,Utilities,Monthly Utilities
1396.98,2022-10-02,Rent,Monthly Rent
30.0,2022-10-02,Disposable,Hair Cuttery
34.81,2022-10-02,Car,Gas
178.01,2022-10-02,Disposable,Costco
9.99,2022-10-03,Entertainment,ESPN+
36.0,2022-10-03,Charity,Save the Children
11.0,2022-10-03,Disposable,Chipotle
15.0,2022-10-04,Disposable,Chipotle
35.0,2022-10-05,Charity,Alzheimer's donation
91.11000000000001,2022-10-06,Disposable,Bowlero
4.99,2022-10-07,Entertainment,Peacock Premium
59.99,2022-10-08,Entertainment,Strava
30.0,2022-10-08,Disposable,Doyle's Outpost
53.0,2022-10-09,Disposable,Mattie & Eddies Irish Bar
1.0,2022-10-09,Disposable,Capital Bike Share
25.47,2022-10-09,Disposable,Taco Bell
140.0,2022-10-11,Disposable,Weed
883.45,2022-10-12,Car,Geico
87.13,2022-10-13,Disposable,Huel
227.87,2022-10-13,Disposable,Costco
87.13,2022-10-13,Disposable,Huel
227.87,2022-10-13,Disposable,Costco
15.49,2022-10-14,Entertainment,Netflix
30.0,2022-10-14,Disposable,Public bar
23.0,2022-10-15,Disposable,The Living Room cover
22.46,2022-10-15,Disposable,Lyft home
10.0,2022-10-15,Disposable,The Living Room
40.73,2022-10-18,Car,Gas
40.0,2022-10-20,Utilities,Verizon
2.99,2022-10-20,Entertainment,OneDrive
50.0,2022-10-20,Car,EZ-Pass
20.14,2022-10-22,Car,Gas
30.75,2022-10-24,Car,Gas
74.98,2022-10-24,Disposable,UberEats
92.19,2022-10-26,Disposable,Costco
31.700000000000003,2022-10-29,Disposable,REI
82.15,2022-10-29,Disposable,Party City
28.0,2022-10-30,Disposable,Taco Bell
12.85,2022-10-29,Disposable,Lyft
30.42,2022-09-01,Disposable,Lyft from airport
10.0,2022-09-01,Gym,Gym fee
7.65,2022-09-01,Disposable,Empower to airport
4.35,2022-09-01,Disposable,Good Ambler coffee
79.25,2022-09-01,Disposable,Second City tickets
12.82,2022-09-01,Disposable,Firenze Italian sandwich
1244.29,2022-09-02,Rent,Monthly Rent
100.0,2022-09-02,Car,Monthly Parking
125.0,2022-09-02,Utilities,Monthly Utilities
52.5,2022-09-02,Disposable,North Coast beers
18.98,2022-09-02,Disposable,Island Noodles
36.0,2022-09-02,Charity,Save the Children
9.99,2022-09-03,Entertainment,ESPN+
50.0,2022-09-03,Disposable,Said the Sky ticket
20.0,2022-09-03,Disposable,Uber to stadium
8.0,2022-09-03,Disposable,Water
17.66,2022-09-04,Disposable,Sound-Bar drink
10.0,2022-09-04,Disposable,UIC Student Rec gym
10.85,2022-09-05,Disposable,Lyft to Second City
14.99,2022-09-05,Disposable,Lyft back from Second City
1.12,2022-09-05,Disposable,McDonald's
31.0,2022-09-05,Disposable,Brooklyn Boulders
35.0,2022-09-06,Disposable,United checked bag
10.0,2022-09-06,Disposable,Chicago Metro pass
37.5,2022-09-07,Disposable,Guapo's
4.99,2022-09-07,Disposable,Peacock Premium
16.32,2022-09-09,Disposable,Jeni's Ice Cream
9.99,2022-09-09,Entertainment,Spotify
17.85,2022-09-10,Disposable,Taco Bell
141.26,2022-09-10,Disposable,Costco
152.8,2022-09-11,Disposable,Pacers Running
58.32,2022-09-14,Car,Property tax
38.01,2022-09-13,Car,Gas
8.05,2022-09-15,Disposable,Rasa x4
11.99,2022-09-14,Disposable,Lyft to MercyMe
15.49,2022-09-14,Entertainment,Netflix
40.0,2022-09-19,Utilities,Verizon
11.96,2022-09-18,Disposable,Lyft to Navy Yard
34.41,2022-09-18,Disposable,DC United ticket
54.67,2022-09-18,Disposable,DC United beers
25.0,2022-09-16,Disposable,Giant
2.99,2022-09-20,Entertainment,OneDrive
84.12,2022-09-21,Disposable,Costco
47.69,2022-09-24,Disposable,GNC - Pre-workout
35.56,2022-09-23,Disposable,AMC
74.0,2022-09-24,Disposable,Augie's Mussel House
104.0,2022-09-25,Disposable,Il Porto Ristorante
36.11,2022-09-30,Disposable,Chiko's
125.0,2022-08-01,Disposable,Weed
21.44,2022-08-01,Disposable,Nationals beers
36.0,2022-08-02,Charity,Save the Children
1160.0,2022-08-03,Rent,Monthly rent
100.0,2022-08-03,Car,Monthly parking
94.96000000000004,2022-08-03,Utilities,Monthly utilities
20.0,2022-08-03,Car,Gas
6.99,2022-08-03,Entertainment,ESPN+
10.0,2022-08-03,Disposable,Chipotle
179.58,2022-08-04,Disposable,Costco
11.9,2022-08-06,Disposable,Uber
12.94,2022-08-06,Disposable,Uber
23.55,2022-08-06,Disposable,White Claws
4.99,2022-08-07,Entertainment,Peacock
123.0,2022-08-07,Disposable,Liberty Tavern
39.73,2022-08-09,Car,Gas
9.99,2022-08-09,Entertainment,Spotify
110.0,2022-08-10,Disposable,Soccer registration
87.13,2022-08-11,Disposable,Huel
11.0,2022-08-12,Disposable,Chipotle
50.21,2022-08-13,Disposable,Chinese food
203.05,2022-08-14,Disposable,Avis car rental
15.49,2022-08-14,Entertainment,Netflix
18.13,2022-08-14,Disposable,Big Buns
391.49,2022-08-17,Disposable,North Coast Festival payment #2
27.79,2022-08-17,Disposable,Salud Barrio
27.16,2022-08-17,Disposable,Pokez Restaurant
31.91,2022-08-18,Disposable,Uber
9.56,2022-08-18,Disposable,The Taco Stand
30.0,2022-08-18,Disposable,Coronado Brewing Company
90.0,2022-08-18,Disposable,Herb & Wood
130.0,2022-08-18,Disposable,Duke's La Jolla
93.0,2022-08-18,Disposable,Barbua
81.12,2022-08-19,Disposable,Camino Riviera
22.61,2022-08-19,Disposable,The Taco Stand
13.44,2022-08-19,Disposable,Reuben H Fleet
44.7,2022-08-19,Disposable,Tacos El Cabron
26.0,2022-08-19,Disposable,JFGSD
4.01,2022-08-20,Disposable,Hiking drinks
15.71,2022-08-20,Disposable,In N Out Burger
66.0,2022-08-20,Disposable,Hyatt drinks
48.0,2022-08-20,Disposable,Coin OP - Gaslamp
102.26,2022-08-20,Disposable,Tac/quila
51.14,2022-08-21,Car,Gas
52.52,2022-08-21,Disposable,Avis car rental
11.16,2022-08-21,Disposable,Bopjo
21.06,2022-08-21,Disposable,Wicked Maine Lobster
40.92,2022-08-22,Disposable,All Season Brewery
93.28,2022-08-22,Disposable,Elephante
6.33,2022-08-22,Disposable,Coffee Commissary
2.99,2022-08-22,Entertainment,OneDrive
11.0,2022-08-23,Disposable,Chipotle
45.0,2022-08-24,Disposable,Giant
100.0,2022-08-21,Disposable,American Beauty
40.0,2022-08-21,Utilities,Verizon
183.23,2022-08-21,Disposable,Costco
50.0,2022-08-30,Charity,Savannah Carter donation
33.55,2022-07-01,Disposable,Giant
2.63,2022-07-01,Car,Parking
51.42,2022-07-02,Car,Gas
5.74,2022-07-02,Disposable,7-Eleven
50.0,2022-07-02,Disposable,Circa Navy Yard
28.0,2022-07-02,Disposable,Young Chow
36.0,2022-07-02,Charity,Save the Children
1160.0,2022-07-02,Rent,Monthly Rent
100.0,2022-07-02,Car,Monthly parking
75.90000000000009,2022-07-02,Utilities,Monthly utilities
12.99,2022-07-03,Disposable,Uber
20.6,2022-07-03,Disposable,Bar Bao
5.75,2022-07-03,Disposable,Uber cancellation fee
10.94,2022-07-03,Disposable,Uber
15.0,2022-07-03,Car,Parking
6.99,2022-07-03,Entertainment,ESPN+
56.0,2022-07-03,Disposable,Spider Kelly's
11.76,2022-07-03,Disposable,Uber
211.18,2022-07-06,Disposable,Flight to/from Chicago
9.0,2022-07-07,Car,Zac guest parking pass
12.24,2022-07-07,Disposable,Arsenal pregame party ticket
59.99,2022-07-08,Disposable,Mario Kart
47.67,2022-07-09,Disposable,ABC Store
9.99,2022-07-09,Entertainment,Spotify
101.66,2022-07-09,Disposable,Costco
5.0,2022-07-12,Charity,DC Scores
120.77,2022-07-12,Disposable,North Coast Festival Payment #1
45.0,2022-07-13,Disposable,Nationals ticket
377.0,2022-07-14,Disposable,CA AirBnB + Hotels
15.99,2022-07-14,Entertainment,Netflix
61.93,2022-07-15,Disposable,Costco
306.75,2022-07-15,Disposable,Hamilton tickets
18.0,2022-07-16,Disposable,MARC train tickets
44.45,2022-07-16,Disposable,Baltimore beers
60.13,2022-07-16,Disposable,Miss Shirley's café
40.0,2022-07-17,Disposable,Uber home
40.0,2022-07-18,Utilities,Verizon WiFi
2.99,2022-07-20,Entertainment,OneDrive
30.0,2022-07-20,Disposable,Haircut
56.17,2022-07-20,Disposable,Target
41.0,2022-07-17,Disposable,Neramitra
18.56,2022-07-23,Car,Gas
45.0,2022-07-21,Car,Gas
105.0,2022-07-25,Disposable,Oyster Rock
45.75,2022-07-26,Disposable,Eggs Up Grill
50.0,2022-07-27,Car,EZ-Pass
36.81,2022-07-27,Car,Gas
62.0,2022-07-28,Disposable,Giant
94.0,2022-06-01,Disposable,AirBnB deposit
1284.12,2022-06-01,Car,Wheel bearing replacement
40.0,2022-06-01,Utilities,Renters Insurance
10.92,2022-06-01,Disposable,Uber to Yates Automotive
1160.0,2022-06-02,Rent,Monthly rent
100.0,2022-06-02,Car,Monthly parking
92.73000000000002,2022-06-02,Utilities,Monthly utilities
50.96,2022-06-02,Car,Gas
36.0,2022-06-02,Charity,Save the Children
6.99,2022-06-07,Entertainment,ESPN+
240.0,2022-06-09,Disposable,Weed
50.0,2022-06-11,Car,EZ-Pass
32.0,2022-06-10,Disposable,Busboys and Poets
232.36,2022-06-19,Disposable,Costco
10.0,2022-06-18,Disposable,Chipotle
15.49,2022-06-14,Entertainment,Netflix
7.89,2022-06-13,Disposable,CVS
90.0,2022-06-13,Disposable,MedMen
2.99,2022-06-20,Entertainment,OneDrive
7.0,2022-06-23,Disposable,Flowers
16.55,2022-06-23,Disposable,Target
6.0,2022-06-22,Car,Parking
53.66,2022-06-21,Car,Gas
19.56,2022-06-25,Disposable,Empower from Tiger Fork
190.0,2022-06-25,Disposable,Tiger Fork
14.98,2022-06-25,Disposable,Uber
11.99,2022-06-25,Disposable,Uber
12.93,2022-06-24,Disposable,Uber
43.0,2022-06-24,Disposable,Spider Kelly's
67.6,2022-06-26,Disposable,District Sports registration
74.52,2022-06-29,Disposable,Costco
1160.0,2022-05-02,Rent,Monthly Rent
100.0,2022-05-02,Car,Monthly parking
102.19000000000005,2022-05-02,Utilities,Monthly utilities
95.4,2022-05-02,Disposable,Adidas soccer cleats
36.0,2022-05-02,Charity,Save the Children
6.99,2022-05-03,Entertainment,ESPN+
277.0,2022-05-04,Disposable,Dental Care
25.44,2022-05-04,Disposable,Target
150.65,2022-05-07,Disposable,Mias Italian Kitchen
16.4,2022-05-07,Disposable,Bradshaw Sauce
266.74,2022-05-07,Disposable,Costco
10.0,2022-05-07,Disposable,Chipotle
116.56,2022-05-08,Disposable,ABC Store
10.9,2022-05-09,Disposable,Uber to Circa
9.99,2022-05-09,Entertainment,Spotify
45.2,2022-05-12,Car,Gas
33.04,2022-05-13,Disposable,Capital One beers
12.0,2022-05-14,Disposable,Chipotle
15.49,2022-05-14,Entertainment,Netflix
9.46,2022-05-16,Disposable,Chipotle
55.0,2022-05-17,Disposable,Arsenal ticket
308.6,2022-05-17,Disposable,Flight to DCA from LAX
20.0,2022-05-18,Utilities,WiFi
27.75,2022-05-18,Disposable,DC United tickets
188.2,2022-05-18,Disposable,Flight to San Diego from Dulles
35.42,2022-05-18,Disposable,DC United beers
12.26,2022-05-19,Disposable,Potbelly
12.46,2022-05-19,Disposable,Empower ride
83.0,2022-05-20,Disposable,Carmines
12.0,2022-05-20,Disposable,Carmines
12.26,2022-05-20,Disposable,Potbelly
20.0,2022-05-20,Disposable,World of Beer
2.99,2022-05-20,Entertainment,OneDrive
10.13,2022-05-21,Disposable,Ice Cream at Days
32.0,2022-05-22,Car,Parking
45.0,2022-06-01,Car,NJ gas
20.07,2022-05-22,Disposable,Hoagie Haven
114.6,2022-05-22,Disposable,Antique Bar & Bakery
13.0,2022-05-24,Disposable,Chipotle
38.0,2022-05-25,Disposable,Giant
11.0,2022-05-26,Disposable,Chipotle
4.99,2022-05-30,Entertainment,Paramount+
170.0,2022-05-29,Disposable,Grilling supplies
6.0,2022-05-30,Disposable,Giant
11.98,2022-05-28,Disposable,Uber
5.0,2022-05-29,Disposable,Chipotle
1160.0,2022-04-01,Rent,Monthly rent
100.0,2022-04-01,Car,Monthly parking
84.0,2022-04-01,Utilities,Monthly utilities
55.0,2022-04-02,Disposable,Mission Navy Yard
36.0,2022-04-02,Charity,Save the Children
19.29,2022-04-03,Disposable,Uber
87.13,2022-04-04,Disposable,Huel
12.86,2022-04-06,Disposable,Empower ride to Capital One
50.98,2022-04-06,Disposable,Capital One beers
6.99,2022-04-07,Entertainment,ESPN+
70.0,2022-04-07,Disposable,Porch rug
74.0,2022-04-08,Disposable,9:30 club drinks
33.0,2022-04-08,Disposable,American Ice Company
53.0,2022-04-09,Disposable,Doi Moi
9.99,2022-04-09,Entertainment,Spotify
29.89,2022-04-10,Disposable,Taco Bell
702.98,2022-04-12,Car,Geico
178.52,2022-04-13,Disposable,Costco
44.11,2022-04-14,Car,Gas
15.49,2022-04-14,Entertainment,Netflix
58.0,2022-04-16,Disposable,Dubliner dinner
12.66,2022-04-16,Car,Parking
3.0,2022-04-16,Disposable,Birthday candles
40.0,2022-04-18,Utilities,WiFi
59.99,2022-04-18,Entertainment,Dashlane
2.99,2022-04-19,Entertainment,OneDrive
46.64,2022-04-20,Disposable,Kabob Palace
119.5,2022-04-22,Disposable,Castas Rum Bar
99.99,2022-04-23,Entertainment,Chess.com
11.82,2022-04-23,Disposable,Empower ride home
13.0,2022-04-24,Disposable,Chipotle
61.18000000000001,2022-04-24,Disposable,Trader Joe's
21.58,2022-04-24,Disposable,The Home Depot
147.59,2022-04-25,Disposable,Costco
40.0,2022-04-27,Disposable,Carmine's reservation
18.01,2022-04-29,Disposable,Art of Statistics book
240.0,2022-04-29,Disposable,Weed
134.41,2022-04-30,Disposable,Tacombi
54.78,2022-04-30,Disposable,City-State Brewery
4.99,2022-04-30,Entertainment,Paramount+
38.06,2022-04-26,Car,Gas
78.99,2022-03-01,Disposable,FXA league registration
122.0,2022-03-02,Disposable,DCPL league registration
